"title","url","date"
"Boyfriend admits stabbing 19-year-old student to death in her university accommodation but will not face trial for her murder","https://www.dailymail.co.uk/news/article-12253619/Boyfriend-admits-stabbing-student-19-death-not-face-trial-murder.html","2023-07-01"
"Inside the brutal world of far-right football 'ultras': Shocking photos lift the lid on the extreme Dinamo Tbilisi 'Elita' whose code of violence is second to none","https://www.dailymail.co.uk/sport/football/article-12250109/Inside-brutal-world-far-right-football-ultras.html","2023-07-01"
"Jesy Nelson announces she is taking an extended break from showbusiness and reveals huge future plans","https://www.dailymail.co.uk/tvshowbiz/jesy-nelson/article-12253657/Jesy-Nelson-announces-taking-long-break-showbusiness-reveals-huge-future-plans.html","2023-07-01"
"Jailed fantasist who attacked herself with a hammer to back up her lies that she had been raped and trafficked by Asian grooming gang received £55,000 of taxpayer cash","https://www.dailymail.co.uk/news/article-12251615/Jailed-fantasist-lied-raped-trafficked-Asian-gang-got-55-000-taxpayer-cash.html","2023-07-01"
"'I couldn't have been more upset!' Sarah Jessica Parker discusses Kim Cattrall's return as Samantha Jones in And Just Like That... and reveals candid new details about shock cameo","https://www.dailymail.co.uk/tvshowbiz/article-12252855/Sarah-Jessica-Parker-discusses-Kim-Cattralls-return-Samantha-Jones-Just-Like-That.html","2023-07-01"
"Want to get a body like Tess Daley? Femail brings you top work-out tips from her personal trainer to help you beat the bulge post 40","https://www.dailymail.co.uk/femail/article-12227157/Want-body-like-Tess-Daly.html","2023-07-01"
"Want a body like Kate's? I'm a personal trainer and here are the workouts you need to do to get a toned figure like the Princess of Wales (and you might be surprised)","https://www.dailymail.co.uk/femail/article-12238625/Im-personal-trainer-workouts-need-body-like-Kate-Middleton.html","2023-07-01"
"'It's relentless…we miss him every single day': Tom Parker's widow Kelsey says their young children still make Father's Day cards one year after his death at age 33 from brain cancer","https://www.dailymail.co.uk/tvshowbiz/article-12253187/Tom-Parkers-widow-Kelsey-says-young-children-make-Fathers-Day-cards.html","2023-07-01"
"Clarkson's Farm star Kaleb Cooper applies to council for permission to stay on his caravan plot so he can care for his pigs, chicken and calves","https://www.dailymail.co.uk/tvshowbiz/article-12253637/Clarksons-Farm-star-Kaleb-Cooper-applies-council-permission-stay-caravan-plot.html","2023-07-01"
"DR MICHAEL MOSLEY: This is why men should ditch those tight underpants","https://www.dailymail.co.uk/health/article-12252623/DR-MICHAEL-MOSLEY-Men-ditch-tight-underpants-male-fertility-birth-rates-plummet.html","2023-07-01"
"Do ghosts really exist? 5 possible scientific explanations for paranormal activity REVEALED - from sleep paralysis to exploding head syndrome","https://www.dailymail.co.uk/sciencetech/article-12238665/Do-ghosts-really-exist-5-possible-scientific-explanations-paranormal-activity-REVEALED.html","2023-07-01"
"The Hollywood icons that never were: From Tom Selleck as Indiana Jones, Nicolas Cage as Superman, Sam Neil as 007 and Eric Stoltz as Marty McFly... the stars who quit or were canned before playing iconic Hollywood roles","https://www.dailymail.co.uk/usshowbiz/article-12243143/Screen-icons-never-Tom-Selleck-Indiana-Jones-Nick-Cage-Superman-Sam-Neil-007.html","2023-07-01"
